[Info  - 3:44:12 PM] Linter is running.
[Warn  - 3:44:13 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:14 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:14 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:14 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:15 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:16 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:16 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:17 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:17 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:19 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:20 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:20 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:21 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:21 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:22 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
[Warn  - 3:44:23 PM] vscode-tslint: Cannot read tslint configuration - 'Failed to load /var/www/html/tslint.json: Could not find custom rule directory: codelyzer'
